wavelength_um,intensity_MW_sr-1_m-2_nm-1
1.729729729729729826e+00,4.623714244832492433e+06
1.735735735735735696e+00,4.560049593759800307e+06
1.741741741741741789e+00,4.497476941272133030e+06
1.747747747747747660e+00,4.435973887861436233e+06
1.753753753753753752e+00,4.375518568237277679e+06
1.759759759759759623e+00,4.316089636815376580e+06
1.765765765765765716e+00,4.257666253648083657e+06
1.771771771771771586e+00,4.200228070781941526e+06
1.777777777777777679e+00,4.143755219027913176e+06
1.783783783783783550e+00,4.088228295130516868e+06
1.789789789789789642e+00,4.033628349322490860e+06
1.795795795795795735e+00,3.979936873252215330e+06
1.801801801801801828e+00,3.927135788271476515e+06
1.807807807807807920e+00,3.875207434071688913e+06
1.813813813813813791e+00,3.824134557657108176e+06
1.819819819819819884e+00,3.773900302643919364e+06
1.825825825825825754e+00,3.724488198874593712e+06
1.831831831831831847e+00,3.675882152337176725e+06
1.837837837837837718e+00,3.628066435379633214e+06
1.843843843843843811e+00,3.581025677209642716e+06
1.849849849849849681e+00,3.534744854670672677e+06
1.855855855855855774e+00,3.489209283285375684e+06
1.861861861861861867e+00,3.444404608557785861e+06
1.867867867867867737e+00,3.400316797525987029e+06
1.873873873873873830e+00,3.356932130557282828e+06
1.879879879879879701e+00,3.314237193378174212e+06
1.885885885885885793e+00,3.272218869331655558e+06
1.891891891891891664e+00,3.230864331854712218e+06
1.897897897897897979e+00,3.190161037169015501e+06
1.903903903903903849e+00,3.150096717178183142e+06
1.909909909909909942e+00,3.110659372565084603e+06
1.915915915915915813e+00,3.071837266083009075e+06
1.921921921921922127e+00,3.033618916034597438e+06
1.927927927927927998e+00,2.995993089932792354e+06
1.933933933933933869e+00,2.958948798338103108e+06
1.939939939939939739e+00,2.922475288866816554e+06
1.945945945945946054e+00,2.886562040364866145e+06
1.951951951951951925e+00,2.851198757242299616e+06
1.957957957957957795e+00,2.816375363963422365e+06
1.963963963963963666e+00,2.782081999687908683e+06
1.969969969969969981e+00,2.748309013058277313e+06
1.975975975975975851e+00,2.715046957129313610e+06
1.981981981981981722e+00,2.682286584435132332e+06
1.987987987987988037e+00,2.650018842189780902e+06
1.993993993993994129e+00,2.618234867617359851e+06
2.000000000000000000e+00,2.586925983407763764e+06
2.006006006006005649e+00,2.556083693294347264e+06
2.012012012012012185e+00,2.525699677749854513e+06
2.018018018018017834e+00,2.495765789797130972e+06
2.024024024024023927e+00,2.466274050931201316e+06
2.030030030030029575e+00,2.437216647149464581e+06
2.036036036036036112e+00,2.408585925086806528e+06
2.042042042042042205e+00,2.380374388252576813e+06
2.048048048048047853e+00,2.352574693366427906e+06
2.054054054054054390e+00,2.325179646790173370e+06
2.060060060060060039e+00,2.298182201052859426e+06
2.066066066066066131e+00,2.271575451466339640e+06
