wavelength_um,intensity_MW_sr-1_m-2_nm-1
2.732732732732732650e+00,2.863364484783448861e+05
2.738738738738738743e+00,2.843303344532188494e+05
2.744744744744744835e+00,2.823413645271473797e+05
2.750750750750750484e+00,2.803693681598603725e+05
2.756756756756757021e+00,2.784141767129520886e+05
2.762762762762762669e+00,2.764756234269610723e+05
2.768768768768768762e+00,2.745535433987347060e+05
2.774774774774774411e+00,2.726477735590757802e+05
2.780780780780780947e+00,2.707581526506661321e+05
2.786786786786786596e+00,2.688845212062663049e+05
2.792792792792792689e+00,2.670267215271854075e+05
2.798798798798798337e+00,2.651845976620196016e+05
2.804804804804804874e+00,2.633579953856563079e+05
2.810810810810810523e+00,2.615467621785401425e+05
2.816816816816816615e+00,2.597507472061967419e+05
2.822822822822823152e+00,2.579698012990132847e+05
2.828828828828828801e+00,2.562037769322716922e+05
2.834834834834834894e+00,2.544525282064299099e+05
2.840840840840840542e+00,2.527159108276517945e+05
2.846846846846847079e+00,2.509937820885787951e+05
2.852852852852852727e+00,2.492860008493433998e+05
2.858858858858858820e+00,2.475924275188194297e+05
2.864864864864864469e+00,2.459129240361070260e+05
2.870870870870871006e+00,2.442473538522502931e+05
2.876876876876876654e+00,2.425955819121831737e+05
2.882882882882882747e+00,2.409574746369014902e+05
2.888888888888888840e+00,2.393328999058587360e+05
2.894894894894894932e+00,2.377217270395825908e+05
2.900900900900900581e+00,2.361238267825086950e+05
2.906906906906906674e+00,2.345390712860296480e+05
2.912912912912912766e+00,2.329673340917573078e+05
2.918918918918918859e+00,2.314084901149946090e+05
2.924924924924924952e+00,2.298624156284134078e+05
2.930930930930930600e+00,2.283289882459386718e+05
2.936936936936937137e+00,2.268080869068338070e+05
2.942942942942942786e+00,2.252995918599858996e+05
2.948948948948948878e+00,2.238033846483874950e+05
2.954954954954954971e+00,2.223193480938131979e+05
2.960960960960961064e+00,2.208473662816888536e+05
2.966966966966966712e+00,2.193873245461492916e+05
2.972972972972972805e+00,2.179391094552843133e+05
2.978978978978978898e+00,2.165026087965690240e+05
2.984984984984984990e+00,2.150777115624777507e+05
2.990990990990990639e+00,2.136643079362763383e+05
2.996996996996996732e+00,2.122622892779938702e+05
3.003003003003002824e+00,2.108715481105699728e+05
3.009009009009008917e+00,2.094919781061748508e+05
3.015015015015015010e+00,2.081234740727017634e+05
3.021021021021021102e+00,2.067659319404268463e+05
3.027027027027027195e+00,2.054192487488377665e+05
3.033033033033032844e+00,2.040833226336255611e+05
3.039039039039038936e+00,2.027580528138405061e+05
3.045045045045045029e+00,2.014433395792072406e+05
3.051051051051051122e+00,2.001390842775997298e+05
3.057057057057056770e+00,1.988451893026718462e+05
3.063063063063062863e+00,1.975615580816426373e+05
3.069069069069068956e+00,1.962880950632344466e+05
3.075075075075075048e+00,1.950247057057617349e+05
3.081081081081080697e+00,1.937712964653675444e+05
3.087087087087087234e+00,1.925277747844075493e+05
3.093093093093092882e+00,1.912940490799793333e+05
3.099099099099098975e+00,1.900700287325932877e+05
3.105105105105104624e+00,1.888556240749859717e+05
3.111111111111111160e+00,1.876507463810720074e+05
3.117117117117117253e+00,1.864553078550341597e+05
3.123123123123122902e+00,1.852692216205481964e+05
3.129129129129128994e+00,1.840924017101428180e+05
3.135135135135135087e+00,1.829247630546912551e+05
3.141141141141141180e+00,1.817662214730338310e+05
3.147147147147146828e+00,1.806166936617286410e+05
3.153153153153153365e+00,1.794760971849306661e+05
